景点名字,经纬度,地址,已售票数
中国（青岛）汉画像砖博物馆,"120.431254,36.106318",山东省青岛市市北区浮山北麓（同安路719号）,89
华东百利酒庄,"120.528588,36.171052",山东省青岛市崂山区沙子口镇南龙口社区华东百利酒庄,49
青岛德国总督楼旧址博物馆,"120.33823309469,36.071091490395",山东省青岛市南区,43
猎鹰滑翔,"120.253338,35.968158",山东省青岛市黄岛区金沙滩旅游风景区P9停车场,76
赶海园,"120.309412,36.194535",山东省青岛市城阳区红岛东大洋村南,50
青岛劈柴院,"120.32395575892,36.07693260216",山东省青岛市南区中山路商业圈,31
仰口海水浴场,"120.676117,36.244798",山东省青岛市崂山区崂山景区旅游专用路东50米,77
青岛第一海水浴场（汇泉湾浴场）,"120.34876,36.061972",山东省青岛市市南区南海路15号,89
小科实验室青岛站,"120.41311,36.070785",山东省青岛市市南区香港中路100号中商大厦701,54
全民健身中心游泳馆,"120.395034,36.140841",山东省青岛市市北区周口路88号甲,6
西海岸水疗馆公馆,"119.990398,35.876988",山东省青岛市胶南市珠山路20号（珠海路与珠山路交叉口路北100米）,30
青岛西海岸生态观光园,"120.072105,35.923265",山东省青岛市黄岛区胶州湾东路3666号,18
东鲁农业公园,"120.323443,37.062458",山东省青岛市莱西市南墅镇北墅水库东麓,50
华盛太阳能农庄,"120.362389,36.434977",山东青岛即墨市普东镇营王路,47
1907电影博物馆-电影生活馆,"120.325957,36.071801",山东省青岛市湖北路17号,95
魔法游乐园(青岛站),"120.40277,36.065798",山东省青岛市市南区东海西路50号海信广场南广场,74
分界线潜水会,"120.308193,36.060307",山东省青岛市市南区瞿塘峡路43号（金盾加油站隔壁）,51
上合组织青岛峰会灯光艺术表演《有朋自远方来》,"120.397399,36.06077",青岛市新会路1号奥帆中心大剧场海上实景演出平台,86
老舍故居,"120.331833,36.062504",山东省青岛黄县路12号,73
芭东会所,"120.665813,36.456783",山东省青岛市即墨市温泉镇芭东路9号,58
多奇妙亲子乐园,"120.17098,35.933921",青岛市西海岸新区滨海大道2888号青岛新城吾悦广场三楼,89
青岛港,"120.330594,36.093808",山东省青岛市市北区,40
龙潭瀑,"120.667701,36.146284",青岛市崂山区,55
西海岸齐长城百果园,"119.941722,35.907597",山东省青岛市黄岛区铁山街道大下庄村,47
石老人海水浴场,"120.48112499275,36.10007421354",山东省青岛市崂山区海口路287号,47
崂山文化体验园,"120.566766,36.134041",山东省青岛市崂山区崂山路281号,96
康有为故居,"120.33929,36.059923",山东省青岛市市南区福山支路5号,78
青岛日月谷假日温泉,"120.666161,36.450992",山东省青岛即墨市温泉镇温泉一路,38
八大关别墅群,"120.354143,36.050149",山东青岛市南区,99
青岛山炮台遗址（德军地下指挥部）,"120.349592,36.075817",青岛市市北区兴安支路1号,4
圣海温泉水世界（原城投温泉）,"120.64893,36.451561",山东省青岛即墨市温泉镇大田路2997号,22
青岛鲜多多农场,"120.358419,36.724014",山东省青岛莱西市店埠镇兴店路,2
极地雪乡冰雪乐园,"120.336996,36.086436",青岛市市北区辽宁路277号中防文化城下二层D区（包头路和辽宁路交叉）,33
灵珠山滑（草）雪场,"120.066027,35.988061",山东省青岛市黄岛区小珠山国家森林公园景区内,33
青岛海泉湾天创大剧院,"120.702185,36.404647",山东省青岛市即墨市滨海大道188号,96
山海关路1号,"120.3590953507,36.057366508537",山东省青岛山海关路1号,77
二龙山,"120.652599,36.253749",山东省青岛市崂山区王哥庄街道办事处晓望社区,2
青岛比如世界,"120.395838,36.102537",山东省青岛市北区辽阳西路100号新业广场2楼,10
青岛茶山景区,"119.982099,36.941727",山东省青岛平度市店子镇茶山风景区,40
大珠山,"120.011847,35.803661",山东省青岛胶南市滨海街道办事处石门寺,2
藏马山国际旅游度假区,"119.783079,35.798657",山东省青岛藏南镇藏马山长阡沟村,14
城市记忆老街巷,"120.419694,36.139126",山东省青岛市北区常宁路13-1号,87
小琅琊山休闲度假区,"119.901133,35.711029",山东省青岛市黄岛区琅琊镇登台路小琅琊山休闲度假区,95
绿岛温泉,"120.021071,35.864728",山东省青岛市黄岛区烟台东七路85号,30
青岛德国地下要塞一战遗址,"120.349592,36.075817",青岛市市北区兴安支路1号,61
沁楠香农业生态观光园,"0.0,0.0",山东省青岛市河头店镇河头店村永昌路南,33
鹤山,"120.648456,36.341623",山东省青岛即墨鳌山卫镇南4公里,34
金汤温泉,"119.3583178931659,25.66358309535285",山东省青岛市黄岛区凤凰山路290号（双珠路与凤凰山路交叉口西南角）,55
青岛国际会展中心,"120.480626,36.110402",山东省青岛市崂山区苗岭路9号,6
青岛贝林自然博物馆,"120.340273,36.085807",山东省青岛市市北区辽宁路280号,1504
小青岛灯塔,"120.33054,36.058927",山东省青岛市市南区小青岛上,66
华东葡萄酒庄园,"120.51711717709,36.165593737761",山东省青岛市崂山区南龙口九龙坡,85
半亩汤汗蒸时代,"120.544067,36.880132",山东省青岛市莱西市团岛东路2号龙翔二苑南门对面,2
银海水疗温泉,"120.425706,36.064461",山东省青岛市市南区东海中路30号银海大世界院,33
东莫汤泉（平度店）,"120.007646,36.804695",山东省平度市宜室宜家南门,61
青岛龙湾温泉旅游度假村,"119.910131,35.668892",山东省青岛市黄岛区琅琊台风景区内王家台后,96
青岛电影博物馆,"120.102162,35.912133",山东省青岛市黄岛区滨海大道2777号万达茂步行街北侧,8
鸿源御都温泉,"120.66547,36.450833",山东省青岛即墨市温泉镇温泉一路,59
金湾国际商务会馆,"119.974142,36.787265",山东省青岛市平度市杭州路16号金湾国际商务会馆,30
香根温泉,"120.676515,36.43115",青岛市即墨市即墨市温泉镇莱青路378号,2
青岛即墨的国际烟花大赛,"120.723664,36.427518",山东省青岛市即墨南山美爵大酒店湖面凤凰岛,2
绿岛汤泉,"120.424895,36.152623",山东省青岛市李沧区青山路685号(宝龙城市广场对面),66
白鹭湖温泉度假区,"120.445212,36.87356",山东省青岛市莱西市莱西沽河长广路1号（吕家庄村南）,79
青岛蓝树谷青少年世博园,"120.10295,36.800317",青岛平度市云山镇蓝树谷路8号（309国道旁）,2
青岛温泉度假村,"120.670339,36.452625",山东省青岛即墨市温泉旅游度假区,49
即墨金麒玉麟温泉,"120.668311,36.46142",山东省青岛即墨市温泉镇大田路2777号,73
青岛韩家民俗村,"120.282093,36.247025",山东省青岛市城阳区红岛（古荫岛）街道后韩家村东,88
天泰温泉,"120.656529,36.435575",山东省青岛市即墨市温泉镇驻地,76
花石楼,"120.360403,36.056278",山东省青岛市南区黄海路18号花石楼,32
青岛滑翔翼（体验飞行）,"120.252869,35.965066",山东省青岛市黄岛区青岛金沙滩旅游度假区,0
青岛奥帆蓝海珍珠号游轮,"120.39782,36.064026",山东青岛市南区奥帆中心火炬码头,0
夜游青岛一票通,"120.401338,36.060948",山东青岛市南区青岛奥帆中心（市南区澳门路燕儿岛路1号）,0
青岛梦幻海洋潜水世界,"120.319278,36.066732",山东省青岛市市南区太平路61号鑫吉星宾馆内,0
奥帆博物馆5D电影,"120.400966,36.059409",山东省青岛市市北区胶州路140号,0
三湾三岬海上夜游,"120.40581,36.066229",山东省青岛市市南区奥帆中心内演艺广场码头,0
青岛双层观光巴士,"120.319558,36.068571",山东省青岛市青岛火车站南广场,0
青岛夜游三湾,"120.404275,36.063909",山东省青岛市东部新区浮山湾畔青岛奥帆中心,0
青岛平安码头观光船,"120.312068,36.05795",山东省青岛市市南区西陵峡路11号（海润海产品批发超市旁）,0
青岛华严寺,"120.688145,36.211033",山东省青岛市崂山区王哥庄镇返岭后村,0
青岛奥帆奇幻世界,"120.398818,36.060401",山东省青岛市市南区奥帆中心,0
青岛啤酒节,"120.246037,35.962046",山东省青岛市黄岛区金沙滩（啤酒节西海岸会场）/山东省青岛市崂山区世纪广场（啤酒节崂山会场）,0
青岛民俗馆,"120.356427,36.117618",山东省青岛市四方区兴隆路1号,0
青岛单车小站,"120.329901,36.071436",山东省青岛市市南区德县路3号院内（胶奥总督府旧址西侧）,0
第26届青岛国际啤酒节黄岛主会场,"120.247908,35.963175",山东省青岛市黄岛区金沙滩路万人文化广场,0
金沙滩啤酒城,"120.251024,35.964246",山东省青岛市黄岛区金沙滩路1356号西海岸啤酒城西区2号木屋,0
3D画展怪屋（青岛店）,"120.3837,36.080785",山东省青岛市市南区山东路江西路交汇处深业大厦（春天广场）A座26楼星巴克旁,0
青岛曲艺社,"120.419087,36.104865",山东省青岛市市北区同安路89号（樱花小镇）,0
海上游艇观光,"120.401317,36.061135",山东省青岛市市南区,0
青岛万象城Teamlab“未来游乐园”,"120.384244,36.072959",山东省青岛市南区山东路10号市政府西侧华润万象城L1北区Teamlab“未来游乐园”,0
《乾隆潮》青岛万象城站,"120.384522,36.073055",山东省青岛市市南区山东路6号青岛万象城L1北区万象美学实验室,0
青岛慧诚游艇,"120.185469,35.944453",山东省青岛市黄岛区开发区唐岛湾中国石油大学南门正南,0
青岛城阳宝龙乐园,"120.404841,36.302907",山东省青岛市城阳区文阳路269号(崇阳路与山城路交叉路口处宝龙城市广场内),0
名友高尔夫俱乐部,"120.204076,35.956798",山东省青岛市黄岛开发区珠江路观海苑东侧150米名友高尔夫训练基地,0
蓝色畅想,"120.397626,36.060576",山东省青岛市市南区奥帆中心大剧场,0
青岛少海风景区,"120.089659,36.256168",山东省青岛市胶州市香港路1号,0
海尔科技馆,"120.479223,36.10871",青岛市高科园苗岭路中段,0
月湖公园,"120.528198,36.857815",山东省青岛市莱西市文化东路,0
蔬菜科技示范园,"120.512195,36.379273",山东省青岛市即墨市烟青公路即墨开发区立交桥南侧800米,0
青岛梅园景区,"120.42429894485,36.208641966317",山东省青岛市李沧区,0
城阳世纪公园,"120.4026771606,36.29188391422",山东省青岛市城阳区兴阳路318号,0
百果山都市休闲风景区,"120.509425,36.205661",山东省青岛市李沧区九水路街道办事处毕家上流社区,0
青岛风情3D错觉艺术展,"120.327161,36.068563",山东省青岛市南区太平路37号华能大厦南门二楼（栈桥对面）,0
总督府,"120.33103801099,36.070581300879",山东省青岛市沂水路11号,0
二月二农场,"120.621652,36.289546",山东省青岛市崂山区王哥庄街道二月二农场,0
青岛旅游观光塔,"120.36171424295,36.075429687663",山东省青岛市太平山一路,0
青岛奥帆中心蓝誉潜水体验,"120.397626,36.060576",山东省青岛市市南区奥帆中心情人坝5号,0
100哆啦A梦秘密道具博览,"0.0,0.0",青岛市市南区南海路6号第一海水浴场东青岛国际航海俱乐部,0
青岛邮电博物馆,"120.328362,36.069314",山东青岛市南区安徽路5号的老邮电局机关楼（距离栈桥200米，在广西路和安徽路交叉口上）,0
珠山国家森林公园漂流,"120.072726,35.987052",山东省青岛市黄岛开发区珠山国家森林公园内,0
青岛海上休闲垂钓,"120.320421,36.077905",山东省青岛市市南区莘县路65号（小港平安快艇码头）,0
海洋温泉,"120.70329,36.404835",山东省青岛市即墨市滨海大道188号港中旅海泉湾度假区内,0
奥帆中心海陆环游,"120.400642,36.059555",山东省青岛市市南区新会路1号,0
宝湖马术小镇,"120.938169,36.503408",山东省青岛即墨市的田横岛省级旅游度假区房家村豹虎山,0
青岛奥帆中心大剧场,"120.397622,36.060576",山东省青岛市南区澳门路121号甲奥帆中心内(近情人坝),0
青岛平度市3D错觉艺术馆,"120.364053,36.108776",山东省青岛市平度市温州路19号,0
小鬼巧当家职业体验馆,"120.164329,35.939058",山东省青岛市黄岛区灵港路280号,0
天泰水世界,"120.656582,36.43558",山东省青岛即墨市温泉旅游度假区（天泰温泉度假区内）,0
山东青岛港,"120.328378,36.088907",山东半岛南岸的胶州湾内；205 214路车海员站下车,0
青岛大剧院,"120.481068,36.104198",山东青岛崂山区云岭路5号(香港东路北侧),0
青岛雕塑园,"120.460851,36.084187",山东省青岛市崂山区东海路66号,0
花花浪森林公园,"120.57035,36.241183",山东省青岛市崂山区S293(滨海公路),0
青岛出海垂钓观光休闲游,"120.321259,36.085875",山东省青岛市市北区小港湾钓鱼码头,0
少海国家湿地公园,"120.089659,36.256164",山东省青岛市胶州市香港路1号,0
西班牙风情馆,"120.35622,36.058973",山东省青岛市八大关风景区内居庸关路11号西班牙风情馆,0
梁实秋故居,"120.332754,36.061151",山东省青岛市市南鱼山路33号,0
山东青岛石老人高尔夫俱乐部,"120.501334,36.097716",山东青岛崂山区石老人香港东路466号,0
青岛炫ball奥克斯欢乐嘉年华,"120.427788,36.16192",山东省青岛市李沧区奥克斯广场负一层中庭,0
东方城真冰场,"120.433908,36.24247",山东省青岛市城阳区黑龙江中路2111号东方城购物中心4层,0
超级飞侠亲子展青岛站,"120.384172,36.074386",山东省青岛市市南区青岛万象城L1层北ART LAB（靠4号门),0
元帅楼,"120.348085,36.050825",山东省青岛市市南区山海关路17号,0
青岛旅游一票通,"120.389127,36.073437",山东省青岛市,0
青岛凯思乐高尔夫俱乐部,"120.208952,36.811616",山东青岛平度市云山镇刘河甲,0
汇泉广场,"120.347503,36.058228",山东省青岛市南区文登路中段两侧,0
青岛奥林匹克雕塑园,"120.402419,36.293395",山东省青岛市城阳区兴阳路城阳世纪公园内,0
天幕城,"120.434435,30.875816",山东省青岛市市北区辽宁路80号,0
青岛喜悦真冰滑冰场,"120.401647,36.065795",山东省青岛市市南区澳门路88号百丽广场内(近海信广场),0
AIRPARK爱尔城运动工场,"120.458879,36.121757",山东省青岛市，深圳路店：山东省青岛市崂山区深圳路162号。金水路店：山东省青岛市李沧区金水路660号 。,0
崂山北宅高山滑雪场,"120.531061,36.23092",山东省青岛市崂山区北宅街道七峪社区,0
鲁迅公园,"120.33875,36.060483",山东省青岛市莱阳路南侧,0
青岛国际啤酒节世园会会场,"120.479281,36.106599",松岭路262号,0
蝴蝶楼,"120.352535,36.056198",山东省青岛市市南区山海关路21号,0
3D魔幻画展,"120.40581,36.066229",山东省青岛市市南区新会路1号(近东海路),0
公主楼,"120.349452,36.05256",山东省青岛市居庸关路16号,0
国际啤酒城,"120.472375,36.100662",山东省青岛市香港东路与海尔路交叉路口（前临石老人海水浴场）,0
海滨木栈道,"119.990155,35.859076",山东省青岛市黄岛区海滨五路,0
明霞洞,"120.689395,36.151976",山东省青岛市崂山区崂山南部昆仑山腰,0
银海国际游艇俱乐部,"120.429743,36.063383",山东省青岛市市南区东海中路30号,0
百花苑公园,"120.351613,36.071884",山东省青岛市延安一路55号,0
青岛奥林匹克主题公园,"120.394071,36.068134",山东省青岛市市南区青岛奥林匹克主题公园,0
青岛羊驼嘉年华,"120.415828,36.139452",山东省青岛市常宁路与台柳路十字路口东300米（黑龙江路海尔工业园5号门斜对面四方啤酒街468号）,0
青岛国际啤酒节西海岸主会场,"120.246037,35.962046",山东省青岛市黄岛区金沙滩西海岸会场,0
藏马山蓝莓采摘园,"119.775269,35.809172",山东省青岛市黄岛区藏马山国际旅游度假区,0
幸福源薰衣草花田旅游区,"119.977367,36.230378",山东省青岛胶州市三里河办事处卜落林村,0
中国香草园艺博览会,"120.045605,35.967921",山东省青岛市灵山卫街道办事处陡崖子村南香草园,0
台东商业街,"120.365708,36.092998",山东省青岛市市北区,0
第二海水浴场,"120.357639,36.056812",山东省青岛市市南区山海关路6号,0
第三海水浴场,"120.372109666,36.056973816515",山东省青岛市市南区太平角东侧,0
青岛火车站,"120.320526,36.070718",山东省青岛市市南区泰安路2号,0
中国海洋大学,"120.335282,36.061264",青岛市鱼山路5号,0
乐动4D动感体验厅（青岛机场店）,"120.392522,36.272941",山东青岛胶州市流亭国际机场1号航站楼国内出发10号厅,0
青岛海洋游乐城,"120.441117,36.070916",山东省青岛市崂山区青岛海洋游乐城,0
青岛特雅5D艺术馆,"120.433447,36.250722",青岛市城阳区308国道青岛盛文奥特莱斯5楼,0
大黄鸭奥帆中心展,"120.404271,36.063917",山东省青岛市市南区燕儿岛路1号奥帆中心蓝色畅想大剧院内,0
青岛历史文化博物馆,"120.338234,36.067335",山东省青岛市市南区鱼山路37号,0
